index,DATASET,MODEL,RUN,BEST_PARAMS,TIME,Y_TRUE,Y_PRED,F1,ACCURACY,RECALL
34,Dysarthria,SVM,11,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",58.004711389541626,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.51224704122372,0.648936170212766,0.648936170212766
35,Dysarthria,RDF,11,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",26.024757146835327,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.9107321353668228,0.9113475177304965,0.9113475177304965
36,Dysarthria,KNN,12,"{'n_neighbors': 10, 'weights': 'distance'}",0.599998950958252,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Dysarthric' 'Control' 'Dysarthric'],0.7750904156794581,0.7851063829787234,0.7851063829787234
37,Dysarthria,SVM,12,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",65.07664346694946,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5169017577441051,0.6531914893617021,0.6531914893617021
38,Dysarthria,RDF,12,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",25.81320285797119,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.9110038517952592,0.9117021276595745,0.9117021276595745
39,Dysarthria,KNN,13,"{'n_neighbors': 10, 'weights': 'distance'}",0.8050405979156494,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Dysarthric' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.7708465621016187,0.7804964539007092,0.7804964539007092
40,Dysarthria,SVM,13,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",68.62983727455139,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.4984068782801221,0.6379432624113475,0.6379432624113475
41,Dysarthria,RDF,13,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.78719711303711,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Dysarthric' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.9121295701588719,0.9131205673758865,0.9131205673758865
42,Dysarthria,KNN,14,"{'n_neighbors': 10, 'weights': 'distance'}",0.5174040794372559,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Dysarthric']
 ['Control']]",['Dysarthric' 'Control' 'Control' ... 'Dysarthric' 'Dysarthric' 'Control'],0.768223331119518,0.7776595744680851,0.7776595744680851
43,Dysarthria,SVM,14,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",71.48774123191833,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Dysarthric']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5077705625054318,0.6453900709219859,0.6453900709219859
